AOA,injection_location,injection_slot_size,predicted_cl,predicted_cd
0,50,2.0,0.44628166246772455,0.12480507110722373
1,50,2.0,0.5081562331168263,0.14592181532210696
2,50,2.0,0.5700308037659279,0.1670385595369902
3,50,2.0,0.6319053744150298,0.18815530375187367
4,50,2.0,0.6937799450641313,0.2092720479667568
5,50,2.0,0.7556545157132328,0.23038879218164005
6,50,2.0,0.8175290863623346,0.2515055363965236
7,50,2.0,0.8794036570114367,0.27262228061140686
8,50,2.0,0.941278227660538,0.2937390248262904
9,50,2.0,1.0031527983096398,0.31485576904117346
10,50,2.0,1.0650273689587417,0.33597251325605704
11,50,2.0,1.1269019396078435,0.3572462999417881
12,50,2.0,1.1887765102569448,0.38777095785784055
13,50,2.0,1.250651080906047,0.43590647610782535
14,50,2.0,1.3125256515551482,0.48444573174102007
15,50,2.0,1.3744002222042504,0.5329849873742143
16,50,2.0,1.436274792853352,0.5815242430074093
17,50,2.0,1.494195269043968,0.6300634986406038
18,50,2.0,1.5505167341861192,0.6786027542737987
19,50,2.0,1.6061365993214451,0.7271420099069934
20,50,2.0,1.6520377064924354,0.7756812655401883
21,50,2.0,1.6913916845167232,0.8242205211733825
22,50,2.0,1.7195276506243333,0.8727597768065775
23,50,2.0,1.73101342082466,0.921299032439772
24,50,2.0,1.7363000486950466,0.9698382880729667
25,50,2.0,1.7415753542461099,1.0183775437061617
26,50,2.0,1.7468506597971725,1.0669167993393565
27,50,2.0,1.752125965348236,1.1154560549725505
28,50,2.0,1.7560919230380678,1.1625200594158727
